id_institution,name_institution,logo_institution,inn_institution,licence_institution,type_institution,site_institution,city_institution,rating,prognosis,description,,,,,,
1,Абсолют Банк,absolyutbank.jpg,7736046991,2306,Bank,http://absolutbank.ru/,,A+ (III),Развивающийся,,,,,,,
2,Банк «Аверс»,avers.png,1653003601,415,Bank,http://www.aversbank.ru/,,A++,Стабильный,,,,,,,
3,Автоградбанк,avtogradbank.png,1650072068,1455,Bank,http://www.avtogradbank.ru/,,ruBB-,Стабильный,,,,,,,
4,Банк «Агророс»,agroros.png,6453033870,2860,Bank,http://www.agroros.ru,,ruBB+,Стабильный,,,,,,,
5,КБ «Агросоюз»,agrosouz.png,5610000466,1459,Bank,http://www.asbank.ru/,,B++,Негативный,,,,,,,
6,Азиатско-Тихоокеанский Банк,atb.png,2801023444,1810,Bank,https://www.atb.su/,,ruCC,Негативный,,,,,,,
7,АКИБАНК,akibank.jpg,1650002455,2587,Bank,http://www.akibank.ru/,,A (III),Стабильный,,,,,,,
8,АКТИВ БАНК,activ.png,1326024785,2529,Bank,http://www.aktivbank.ru/,,A (I),Стабильный,,,,,,,
9,АктивКапитал Банк,activcapital.png,6318109040,3006,Bank,http://acbank.ru/,,B,Негативный,,,,,,,
10,Банк «Александровский»,alexandrovskiy.png,7831000080,53,Bank,https://alexbank.ru/,,ruBB+,Стабильный,,,,,,,
11,Алмазэргиэнбанк,almazergien.png,1435138944,2602,Bank,http://www.albank.ru/,,A+ (III),Стабильный,,,,,,,
12,Алтайкапиталбанк,altaicapital.png,2225019491,2659,Bank,http://capitalbank.ru/,,A (II),Негативный,,,,,,,
13,Банк Аспект,aspect.png,7716081564,608,Bank,http://www.aspectbank.ru/,,B++,Негативный,,,,,,,
14,КБ «Ассоциация»,associaciya.png,5253004326,732,Bank,http://assotsiatsiyabank.ru/,Нижний Новгород,A+ (III),Негативный,,,,,,,
15,БайкалИнвестБанк,baikalinvest.png,3801002781,1067,Bank,http://www.baikalinvestbank.ru,,B++,Стабильный,,,,,,,
16,Банк Акцепт,akcept.png,5405114781,567,Bank,http://www.akcept.ru/,,A+ (II),Стабильный,,,,,,,
17,Банк БКФ,bkf.jpg,7704111969,2684,Bank,http://www.cfb.ru/,,B++,Стабильный,,,,,,,
18,Банк «ЖилФинанс»,bankzhilfinance.png,7709056550,3138,Bank,http://bgfbank.ru,,B++,Стабильный,,,,,,,
19,Банк Казани,bankkazan.png,1653018661,708,Bank,http://www.bankofkazan.ru/,,B++,Негативный,,,,,,,
20,Банк Премьер Кредит,premerkredit.png,1102011300,1663,Bank,http://premcred.ru,,B,Негативный,,,,,,,
21,"Банк ""Саратов""",banksaratov.png,6455000037,-,Bank,http://banksaratov.ru/,Саратов,B++,Стабильный,,,,,,,
22,Бест Эффортс Банк,bestefforts.png,7831000034,435,Bank,https://www.besteffortsbank.ru/,,A+ (I),Стабильный,,,,,,,
23,БКС Банк,bankbks.jpg,5460000016,101,Bank,https://bcs-bank.com/,,ruBBB+,Стабильный,,,,,,,
